               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 101,            0.052337,            0.017648,                   0,             0.99143,                   1,               0.995,             0.33491,            0.053739,           0.0065817,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.048076,             0.01841,                   0,             0.99258,                   1,               0.995,             0.44183,            0.045726,            0.006456,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.046621,            0.017679,                   0,             0.91439,             0.92308,             0.88061,             0.31591,            0.048547,           0.0066227,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.051413,            0.017848,                   0,             0.91421,                   1,             0.97857,             0.47387,            0.044304,           0.0065814,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.054827,            0.018404,                   0,                   1,             0.91271,             0.98567,             0.27777,            0.057681,           0.0067477,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.048101,            0.018551,                   0,             0.97121,             0.92308,             0.98567,             0.39814,             0.05215,           0.0066208,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.043342,            0.018076,                   0,             0.98569,             0.92308,                0.99,             0.44522,            0.049234,           0.0065775,                   0,            0.006502,            0.006502,            0.006502
                 108,             0.04679,            0.018625,                   0,             0.80959,              0.9821,             0.95795,              0.4215,            0.053259,           0.0063768,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.048349,            0.017998,                   0,              0.9883,             0.92308,                0.99,             0.47957,            0.054335,           0.0062791,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.047601,             0.01835,                   0,             0.98675,             0.92308,             0.98188,             0.56992,            0.052088,           0.0060774,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.043568,            0.016909,                   0,                   1,             0.99283,               0.995,             0.44891,            0.054979,           0.0060735,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.051655,            0.017796,                   0,             0.85143,                   1,             0.97336,             0.55356,            0.052811,           0.0059542,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.051646,            0.019645,                   0,                   1,              0.9829,               0.995,             0.43976,            0.057256,           0.0062018,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.045633,            0.016437,                   0,                   1,             0.97944,               0.995,             0.57475,            0.051263,            0.006177,                   0,            0.006271,            0.006271,            0.006271
                 115,             0.04639,            0.017073,                   0,              0.8537,             0.89895,             0.87159,             0.30438,            0.058801,           0.0066267,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.049373,             0.01849,                   0,             0.91761,                   1,                0.99,             0.52642,            0.044659,            0.006693,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.049051,            0.018271,                   0,             0.99266,                   1,               0.995,             0.30733,            0.047426,           0.0069327,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.043606,            0.017278,                   0,             0.99133,                   1,               0.995,             0.28717,            0.049435,           0.0070019,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.042902,            0.017444,                   0,             0.98525,                   1,               0.995,             0.37194,            0.047807,           0.0068509,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.046918,            0.018049,                   0,             0.98634,                   1,               0.995,             0.41483,            0.038423,           0.0065125,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.048442,            0.017524,                   0,             0.99919,                   1,               0.995,              0.4281,             0.04273,           0.0065569,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.040917,            0.015871,                   0,             0.90958,                   1,                0.99,             0.43625,            0.041269,           0.0064634,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.040732,            0.016658,                   0,             0.91617,                   1,                0.99,             0.51321,             0.03846,           0.0063742,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.044064,            0.017748,                   0,             0.91298,                   1,                0.99,             0.40587,            0.042779,           0.0065533,                   0,            0.005941,            0.005941,            0.005941
