               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 141,            0.017203,            0.014946,                   0,             0.99019,             0.95333,             0.97617,             0.88645,            0.016259,            0.007851,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.018195,            0.015149,                   0,             0.98624,             0.95547,              0.9676,              0.8757,            0.016935,           0.0078772,                   0,            0.005347,            0.005347,            0.005347
                 143,             0.01739,            0.015873,                   0,             0.98494,             0.95333,             0.97506,             0.86013,            0.017828,           0.0079459,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.017541,             0.01639,                   0,             0.98628,             0.95864,             0.97517,             0.87819,            0.016772,           0.0078891,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.016635,            0.015033,                   0,             0.99692,             0.95333,             0.96792,             0.85837,            0.016803,           0.0080481,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.017501,            0.015131,                   0,             0.98629,             0.95886,             0.96735,             0.86515,            0.017186,           0.0079874,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.016834,            0.014357,                   0,             0.99316,             0.95333,             0.97464,             0.86504,            0.017333,           0.0079336,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.017482,            0.014874,                   0,             0.98622,             0.95446,             0.97351,             0.86114,            0.016337,           0.0079684,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.016297,            0.014565,                   0,             0.99662,             0.94667,             0.97216,             0.86597,            0.016213,            0.008197,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.016855,            0.015094,                   0,             0.99308,              0.9568,             0.97815,             0.87124,            0.015966,           0.0080197,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.016799,            0.015148,                   0,             0.99309,             0.95816,             0.96297,              0.8726,            0.016198,            0.008048,                   0,             0.00505,             0.00505,             0.00505
                 152,             0.01651,            0.014839,                   0,             0.98629,             0.95901,             0.97048,             0.86823,            0.016575,           0.0082388,                   0,            0.005017,            0.005017,            0.005017
